male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
1,2,4,5,1,0,5,86,471,231,0,77
0,3,2,2,1,1,5,236,351,56,0,56
0,3,5,5,1,0,0,94,309,154,0,154
1,2,3,4,1,1,5,0,420,489,0,154
0,2,4,4,0,1,6,0,334,231,0,111
0,2,4,4,1,1,5,60,377,120,0,60
1,3,5,3,0,1,0,0,514,600,0,771
0,2,5,5,0,1,0,0,390,189,0,326
0,3,5,3,0,1,0,30,446,441,0,154
0,3,3,2,1,2,0,120,411,171,0,171
1,2,3,3,1,1,6,69,377,171,1,197
1,2,3,4,1,1,5,47,274,351,0,197
1,2,4,3,1,1,0,39,377,231,0,334
1,2,5,3,0,0,0,0,471,549,0,0
1,2,3,4,1,1,6,86,394,189,0,454
0,3,1,3,1,2,0,429,429,266,7,77
0,2,5,4,0,2,2,300,360,120,0,120
0,3,1,3,1,2,0,291,420,137,0,77
1,2,4,3,0,2,5,0,514,360,0,394
0,2,3,1,1,2,1,51,274,686,0,686
1,2,3,2,1,0,5,30,360,579,0,266
0,2,5,5,0,1,1,0,446,386,0,309
1,2,3,3,1,2,0,137,437,197,2,257
0,3,4,5,1,1,1,30,240,300,0,634
1,2,5,4,1,1,1,77,394,463,0,214
0,2,3,1,1,2,7,17,420,111,0,94
1,2,4,3,1,0,6,39,377,274,0,394
0,2,3,3,1,2,2,77,454,274,0,154
1,3,2,5,1,2,6,0,360,1440,3,651
0,2,3,2,1,1,5,56,334,223,0,197
1,2,3,2,1,0,6,39,420,171,0,77
1,2,3,3,1,2,5,39,399,279,0,279
0,2,3,3,1,0,7,137,377,94,0,30
1,2,5,3,1,1,0,171,411,480,0,351
0,3,3,3,1,2,0,450,377,94,0,131
1,2,5,2,1,0,2,60,394,214,2,30
1,3,2,3,1,2,0,369,420,60,6,62
0,3,4,3,0,1,0,56,394,351,0,309
0,2,4,4,1,2,0,47,360,137,0,120
0,2,3,3,1,1,6,51,437,274,0,154
0,2,5,5,0,0,6,69,394,231,0,214
